id,original_path,augmented_path,original_duration,augmented_duration,speed_applied,speed_rate_applied,pitch_applied,noise_applied,time_mask_applied,augmentation_type
42,00629.wav,00629_augmented_spd_nse.wav,13.76,14.7312,True,0.9341,False,False,False,AugmentationType.SPEED|NOISE
43,00629.wav,00629_augmented_pch_msk.wav,13.76,13.76,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
44,00664.wav,00664_augmented_spd_nse.wav,10.896,11.6206,True,0.9376,False,True,False,AugmentationType.SPEED|NOISE
45,00664.wav,00664_augmented_pch_msk.wav,10.896,10.896,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
46,00667.wav,00667_augmented_spd_nse.wav,15.568,15.1755,True,1.0259,False,True,False,AugmentationType.SPEED|NOISE
47,00667.wav,00667_augmented_pch_msk.wav,15.568,15.568,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
48,00668.wav,00668_augmented_spd_nse.wav,6.5867,6.2756,True,1.0496,False,False,False,AugmentationType.SPEED|NOISE
49,00668.wav,00668_augmented_pch_msk.wav,6.5867,6.5867,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
50,00673.wav,00673_augmented_spd_nse.wav,12.2934,11.8211,True,1.04,False,True,False,AugmentationType.SPEED|NOISE
51,00673.wav,00673_augmented_pch_msk.wav,12.2934,12.2934,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
52,00690.wav,00690_augmented_spd_nse.wav,15.91,16.7654,True,0.949,False,True,False,AugmentationType.SPEED|NOISE
53,00690.wav,00690_augmented_pch_msk.wav,15.91,15.91,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
54,00720.wav,00720_augmented_spd_nse.wav,10.8214,11.9573,True,0.905,False,False,False,AugmentationType.SPEED|NOISE
55,00720.wav,00720_augmented_pch_msk.wav,10.8214,10.8214,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
56,00726.wav,00726_augmented_spd_nse.wav,5.9893,5.6711,True,1.0561,False,True,False,AugmentationType.SPEED|NOISE
57,00726.wav,00726_augmented_pch_msk.wav,5.9893,5.9893,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
58,00729.wav,00729_augmented_spd_nse.wav,18.8214,20.1352,True,0.9347,False,True,False,AugmentationType.SPEED|NOISE
59,00729.wav,00729_augmented_pch_msk.wav,18.8214,18.8214,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
60,00733.wav,00733_augmented_spd_nse.wav,15.46,16.4986,True,0.937,False,False,False,AugmentationType.SPEED|NOISE
61,00733.wav,00733_augmented_pch_msk.wav,15.46,15.46,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
62,00825.wav,00825_augmented_spd_nse.wav,13.5307,15.0299,True,0.9003,False,True,False,AugmentationType.SPEED|NOISE
63,00825.wav,00825_augmented_pch_msk.wav,13.5307,13.5307,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
64,00829.wav,00829_augmented_spd_nse.wav,18.2814,16.6416,True,1.0985,False,True,False,AugmentationType.SPEED|NOISE
65,00829.wav,00829_augmented_pch_msk.wav,18.2814,18.2814,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
66,00863.wav,00863_augmented_spd_nse.wav,14.3607,13.7863,True,1.0417,False,False,False,AugmentationType.SPEED|NOISE
67,00863.wav,00863_augmented_pch_msk.wav,14.3607,14.3607,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
68,00873.wav,00873_augmented_spd_nse.wav,8.304,7.6811,True,1.0811,False,False,False,AugmentationType.SPEED|NOISE
69,00873.wav,00873_augmented_pch_msk.wav,8.304,8.304,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
70,00882.wav,00882_augmented_spd_nse.wav,19.4613,19.8249,True,0.9817,False,True,False,AugmentationType.SPEED|NOISE
71,00882.wav,00882_augmented_pch_msk.wav,19.4613,19.4613,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
72,00928.wav,00928_augmented_spd_nse.wav,5.744,5.4986,True,1.0446,False,False,False,AugmentationType.SPEED|NOISE
73,00928.wav,00928_augmented_pch_msk.wav,5.744,5.744,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
74,00931.wav,00931_augmented_spd_nse.wav,18.92,19.2593,True,0.9824,False,True,False,AugmentationType.SPEED|NOISE
75,00931.wav,00931_augmented_pch_msk.wav,18.92,18.92,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
76,00932.wav,00932_augmented_spd_nse.wav,13.4667,12.7089,True,1.0596,False,True,False,AugmentationType.SPEED|NOISE
77,00932.wav,00932_augmented_pch_msk.wav,13.4667,13.4667,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
78,01066.wav,01066_augmented_spd_nse.wav,19.2587,19.3963,True,0.9929,False,False,False,AugmentationType.SPEED|NOISE
79,01066.wav,01066_augmented_pch_msk.wav,19.2587,19.2587,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
80,01068.wav,01068_augmented_spd_nse.wav,8.2994,7.6495,True,1.085,False,True,False,AugmentationType.SPEED|NOISE
81,01068.wav,01068_augmented_pch_msk.wav,8.2994,8.2994,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
82,01080.wav,01080_augmented_spd_nse.wav,15.0454,14.4108,True,1.044,False,True,False,AugmentationType.SPEED|NOISE
83,01080.wav,01080_augmented_pch_msk.wav,15.0454,15.0454,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
84,01096.wav,01096_augmented_spd_nse.wav,15.74,16.1483,True,0.9747,False,False,False,AugmentationType.SPEED|NOISE
85,01096.wav,01096_augmented_pch_msk.wav,15.74,15.74,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
86,01097.wav,01097_augmented_spd_nse.wav,8.31,7.784,True,1.0676,False,True,False,AugmentationType.SPEED|NOISE
87,01097.wav,01097_augmented_pch_msk.wav,8.31,8.31,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
88,01101.wav,01101_augmented_spd_nse.wav,14.0107,12.8738,True,1.0883,False,True,False,AugmentationType.SPEED|NOISE
89,01101.wav,01101_augmented_pch_msk.wav,14.0107,14.0107,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
90,01110.wav,01110_augmented_spd_nse.wav,13.1894,12.7641,True,1.0333,False,True,False,AugmentationType.SPEED|NOISE
91,01110.wav,01110_augmented_pch_msk.wav,13.1894,13.1894,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
92,01155.wav,01155_augmented_spd_nse.wav,13.9,13.4031,True,1.0371,False,True,False,AugmentationType.SPEED|NOISE
93,01155.wav,01155_augmented_pch_msk.wav,13.9,13.9,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
94,01199.wav,01199_augmented_spd_nse.wav,19.1627,20.2543,True,0.9461,False,True,False,AugmentationType.SPEED|NOISE
95,01199.wav,01199_augmented_pch_msk.wav,19.1627,19.1627,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
96,01206.wav,01206_augmented_spd_nse.wav,15.0434,16.5364,True,0.9097,False,False,False,AugmentationType.SPEED|NOISE
97,01206.wav,01206_augmented_pch_msk.wav,15.0434,15.0434,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
98,01223.wav,01223_augmented_spd_nse.wav,15.3654,14.0649,True,1.0925,False,True,False,AugmentationType.SPEED|NOISE
99,01223.wav,01223_augmented_pch_msk.wav,15.3654,15.3654,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
100,01236.wav,01236_augmented_spd_nse.wav,16.63,17.1773,True,0.9681,False,True,False,AugmentationType.SPEED|NOISE
101,01236.wav,01236_augmented_pch_msk.wav,16.63,16.63,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
102,01247.wav,01247_augmented_spd_nse.wav,17.2107,17.9473,True,0.959,False,False,False,AugmentationType.SPEED|NOISE
103,01247.wav,01247_augmented_pch_msk.wav,17.2107,17.2107,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
104,01249.wav,01249_augmented_spd_nse.wav,8.432,7.9568,True,1.0597,False,True,False,AugmentationType.SPEED|NOISE
105,01249.wav,01249_augmented_pch_msk.wav,8.432,8.432,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
106,01250.wav,01250_augmented_spd_nse.wav,18.9387,18.8459,True,1.0049,False,True,False,AugmentationType.SPEED|NOISE
107,01250.wav,01250_augmented_pch_msk.wav,18.9387,18.9387,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
108,01263.wav,01263_augmented_spd_nse.wav,17.6907,18.8888,True,0.9366,False,False,False,AugmentationType.SPEED|NOISE
109,01263.wav,01263_augmented_pch_msk.wav,17.6907,17.6907,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
110,01273.wav,01273_augmented_spd_nse.wav,19.7067,20.7161,True,0.9513,False,True,False,AugmentationType.SPEED|NOISE
111,01273.wav,01273_augmented_pch_msk.wav,19.7067,19.7067,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
112,01283.wav,01283_augmented_spd_nse.wav,17.59,17.0495,True,1.0317,False,True,False,AugmentationType.SPEED|NOISE
113,01283.wav,01283_augmented_pch_msk.wav,17.59,17.59,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
114,01302.wav,01302_augmented_spd_nse.wav,18.5867,17.095,True,1.0873,False,True,False,AugmentationType.SPEED|NOISE
115,01302.wav,01302_augmented_pch_msk.wav,18.5867,18.5867,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
116,01327.wav,01327_augmented_spd_nse.wav,17.36,18.6086,True,0.9329,False,True,False,AugmentationType.SPEED|NOISE
117,01327.wav,01327_augmented_pch_msk.wav,17.36,17.36,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
118,01348.wav,01348_augmented_spd_nse.wav,18.2774,18.8026,True,0.9721,False,True,False,AugmentationType.SPEED|NOISE
119,01348.wav,01348_augmented_pch_msk.wav,18.2774,18.2774,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
120,01376.wav,01376_augmented_spd_nse.wav,17.71,18.0643,True,0.9804,False,True,False,AugmentationType.SPEED|NOISE
121,01376.wav,01376_augmented_pch_msk.wav,17.71,17.71,False,1.0,True,False,True,AugmentationType.PITCH|TIME_MASK
122,01446.wav,01446_augmented_spd_nse.wav,18.8214,17.7487,True,1.0604,False,False,False,AugmentationType.SPEED|NOISE
123,01446.wav,01446_augmented_pch_msk.wav,18.8214,18.8214,False,1.0,True,False,False,AugmentationType.PITCH|TIME_MASK
124,01469.wav,01469_augmented_spd_nse.wav,14.5867,15.6446,True,0.9324,False,True,False,AugmentationType.SPEED|NOISE
